"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.309579184E2,4.870755039E1,2.211061610E0,1.150097831E2,1.617032471E2,1.620000005E0,1.868000031E2,2.026303233E0,3.790092468E0,2.500000000E0,2.300000000E1
1.319646109E2,4.870753824E1,2.211059450E0,1.145638540E2,1.612573242E2,1.250000000E0,1.871999969E2,2.028722346E0,3.790092468E0,2.500000000E0,2.400000000E1
1.329582003E2,4.870751665E1,2.211055390E0,1.157642824E2,1.624577637E2,1.509999990E0,1.881999969E2,2.030818900E0,3.790092468E0,2.588112354E0,2.400000000E1
1.339626005E2,4.870749807E1,2.211050530E0,1.165424093E2,1.632359009E2,1.850000024E0,1.883999939E2,2.031938175E0,3.790092468E0,2.601436377E0,2.400000000E1
1.349643088E2,4.870748843E1,2.211046140E0,1.158982991E2,1.625917969E2,1.460000038E0,1.928999939E2,2.033246534E0,3.790092468E0,2.583961010E0,2.500000000E1
1.359676639E2,4.870747727E1,2.211040490E0,1.160905523E2,1.627840576E2,1.519999981E0,1.938000031E2,2.033945362E0,3.790092468E0,2.573239565E0,2.500000000E1
1.369616364E2,4.870747116E1,2.211038260E0,1.154415618E2,1.621350708E2,8.399999738E-1,1.911999969E2,2.034654938E0,3.790092468E0,2.544760704E0,2.500000000E1
1.379769389E2,4.870746505E1,2.211035470E0,1.149125661E2,1.616060791E2,9.300000072E-1,1.991000061E2,2.035809660E0,3.790092468E0,2.618760347E0,2.700000000E1
1.389698239E2,4.870745476E1,2.211033350E0,1.156267331E2,1.623202515E2,8.600000143E-1,1.855000000E2,2.036744385E0,3.790092468E0,2.709089279E0,2.700000000E1
1.399663353E2,4.870744637E1,2.211032560E0,1.149930011E2,1.616865234E2,6.399999857E-1,1.838999939E2,2.037692430E0,3.790092468E0,2.816103220E0,2.700000000E1
1.409608063E2,4.870743800E1,2.211030100E0,1.141449129E2,1.608384399E2,8.100000024E-1,2.000000000E2,2.038793181E0,3.790092468E0,2.985823631E0,2.600000000E1
1.419686353E2,4.870742833E1,2.211026890E0,1.134052222E2,1.600987549E2,9.100000262E-1,1.946999969E2,2.039606162E0,3.790092468E0,3.083927155E0,2.600000000E1
1.429627732E2,4.870742102E1,2.211026680E0,1.131218938E2,1.598154297E2,6.399999857E-1,1.851999969E2,2.040485890E0,3.790092468E0,3.046735525E0,2.700000000E1
1.439619783E2,4.870741311E1,2.211026440E0,1.126959260E2,1.593894653E2,8.500000238E-1,1.946000061E2,2.041672010E0,3.790092468E0,2.759102106E0,2.400000000E1
1.449638240E2,4.870740272E1,2.211022780E0,1.120924652E2,1.587860107E2,1.100000024E0,1.951000061E2,2.042783962E0,3.790092468E0,2.686895132E0,2.400000000E1
1.459609727E2,4.870739342E1,2.211017210E0,1.111730249E2,1.578665771E2,1.159999967E0,2.063000031E2,2.043771092E0,3.790092468E0,2.542140722E0,2.300000000E1
1.469609510E2,4.870738541E1,2.211011410E0,1.110077354E2,1.577012939E2,1.019999981E0,2.041000061E2,2.044442663E0,3.790092468E0,2.500000000E0,2.200000000E1
1.479611264E2,4.870737953E1,2.211009320E0,1.098428149E2,1.565363770E2,8.199999928E-1,1.951000061E2,2.045229734E0,3.790092468E0,2.500000000E0,2.200000000E1
1.489624694E2,4.870737259E1,2.211011430E0,1.095372100E2,1.562307739E2,6.399999857E-1,1.923999939E2,2.045700888E0,3.790092468E0,2.500000000E0,2.300000000E1
1.499610731E2,4.870736843E1,2.211012650E0,1.079528583E2,1.546464233E2,4.699999988E-1,1.873000031E2,2.046880676E0,3.790092468E0,2.500000000E0,2.500000000E1
1.509612009E2,4.870735795E1,2.211010140E0,1.075761437E2,1.542697144E2,1.399999976E0,1.868000031E2,2.048211554E0,3.790092468E0,2.500000000E0,2.500000000E1
1.519652478E2,4.870734621E1,2.211006610E0,1.078892473E2,1.545828247E2,1.259999990E0,1.878000031E2,2.049126200E0,3.790092468E0,2.500000000E0,2.500000000E1
1.529611200E2,4.870733811E1,2.211004440E0,1.075388400E2,1.542324219E2,8.600000143E-1,1.900000000E2,2.049840679E0,3.790092468E0,2.500000000E0,2.500000000E1
